ObjectID,Plot,Species,DBH (cm) 2021
651,Plot3,ABBA,16
652,Plot4,ABBA,10.4
653,Plot5,ABBA,12.5
654,Plot6,ABBA,10.8
655,Plot7,ABBA,14.5
656,Plot8,ABBA,14.6
657,Plot9,ABBA,11.1
658,Plot10,ABBA,14.3
659,Plot11,ABBA,13.2
660,Plot12,ACRU,12.8
661,Plot1,ACRU,15.1
662,Plot2,ABBA,10.5
663,Plot3,BEPO,13
664,Plot4,ABBA,14.9
665,Plot5,UNSW,31.1
666,Plot6,ABBA,10.3
667,Plot7,LALA,33.3
668,Plot8,ABBA,11.7
669,Plot9,ABBA,13.9
670,Plot10,PIRU,14
671,Plot11,ABBA,12.6
672,Plot12,ABBA,16.3
673,Plot1,BEPO,13
674,Plot2,ABBA,11.1
675,Plot3,ABBA,18.8
676,Plot4,ABBA,24
677,Plot5,BEPO,14.6
678,Plot6,UNK,41.6
679,Plot7,UNK,37
680,Plot8,UNSW,
681,Plot9,UNSW,
682,Plot10,UNSW,
683,Plot11,UNSW,
684,Plot12,UNSW,
685,Plot1,ABBA,11.9
686,Plot2,ABBA,19.4
687,Plot3,ABBA,22.7
688,Plot4,UNSW,43.5
689,Plot5,ABBA,20.9
690,Plot6,ABBA,14.3
691,Plot7,ABBA,16.5
692,Plot8,BECO,14
693,Plot9,BEPO,17.2
694,Plot10,ABBA,14.9
695,Plot11,UNSW,22.1
696,Plot12,ABBA,19.7
697,Plot1,UNSW,44.5
698,Plot2,ABBA,18.2
699,Plot3,UNSW,13.7
700,Plot4,UNSW,57.4
701,Plot5,UNSW,21.8
702,Plot6,ACRU,14.9
703,Plot7,ACRU,20.8
704,Plot8,ACRU,11.9
705,Plot9,ACRU,19.9
706,Plot10,ACRU,17.9
707,Plot11,ACRU,14.7
708,Plot12,ABBA,21.4
709,Plot1,UNSW,40
710,Plot2,ACRU,24.2
711,Plot3,ABBA,18.1
712,Plot4,ABBA,22.4
713,Plot5,BEPO,14.8
714,Plot6,ABBA,18.7
715,Plot7,ABBA,22.5
716,Plot8,UNSW,51.7
717,Plot9,ABBA,10.5
718,Plot10,LALA,13.4
719,Plot11,ABBA,20.9
720,Plot12,ABBA,16.8
721,Plot1,BECO,10.5
722,Plot2,ABBA,22.2
723,Plot3,ABBA,24.6
724,Plot4,ABBA,16.7
725,Plot5,UNSW,40.3
726,Plot6,ABBA,16.3
727,Plot7,UNSW,54.4
728,Plot8,BECO,
729,Plot9,ABBA,19.5
730,Plot10,ABBA,11.7
731,Plot11,ABBA,14
732,Plot12,ABBA,14.3
733,Plot1,ABBA,12.6
734,Plot2,ABBA,11.9
735,Plot3,ABBA,19.2
736,Plot4,PIRU,11.9
737,Plot5,LALA,13.9
738,Plot6,ABBA,16.3
739,Plot7,ABBA,13
740,Plot8,ABBA,12.9
741,Plot9,ABBA,16.8
742,Plot10,ABBA,13.2
743,Plot11,ABBA,16.3
744,Plot12,ABBA,13.4
745,Plot1,ABBA,15.2
746,Plot2,ABBA,13.6
747,Plot3,ABBA,12.3
748,Plot4,ABBA,15.5
749,Plot5,ABBA,12.5
750,Plot6,ABBA,15.2
751,Plot7,ABBA,14.8
752,Plot8,ABBA,21.5
753,Plot9,ABBA,13
754,Plot10,ABBA,14.5
755,Plot11,PIRU,26.4
756,Plot12,ABBA,14.9
757,Plot1,ABBA,15.5
758,Plot2,ABBA,14.9
759,Plot3,ABBA,21.4
760,Plot4,ABBA,14.8
761,Plot5,ABBA,14
762,Plot6,LALA,14.1
763,Plot7,ABBA,12.8
764,Plot8,PIRU,25
765,Plot9,UNSW,46
766,Plot10,ABBA,17.4
767,Plot11,ABBA,16
768,Plot12,ABBA,19.6
769,Plot1,PIRU,23.6
770,Plot2,ABBA,16.2
771,Plot3,PIRU,17.1
772,Plot4,ABBA,12.9
773,Plot5,ABBA,12.8
774,Plot6,ABBA,10.9
775,Plot7,ABBA,18
776,Plot8,ABBA,16
777,Plot9,ABBA,15.7
778,Plot10,ABBA,13.8
779,Plot11,ABBA,12
780,Plot12,ABBA,14.4
781,Plot1,PIRU,20.8
782,Plot2,ABBA,16.6
783,Plot3,UNSW,25
784,Plot4,ABBA,13.9
785,Plot5,ABBA,12.5
786,Plot6,ABBA,11.5
787,Plot7,ABBA,15.5
788,Plot8,ABBA,23
789,Plot9,ABBA,10.5
790,Plot10,ABBA,14
791,Plot11,PIRU,17.9
792,Plot12,ABBA,16.4
793,Plot1,ABBA,18.9
794,Plot2,ABBA,13.3
795,Plot3,ABBA,15.2
796,Plot4,ABBA,16.1
797,Plot5,ABBA,14.4
798,Plot6,ABBA,10.5
799,Plot7,ABBA,19.3
800,Plot8,ABBA,10.2
801,Plot9,ABBA,13.6
802,Plot10,ABBA,14.9
803,Plot11,ACRU,17.3
804,Plot12,UNSW,21
805,Plot1,LALA,20.5
806,Plot2,ABBA,11.7
807,Plot3,ABBA,13.7
808,Plot4,ABBA,18
809,Plot5,ABBA,10.6
810,Plot6,ABBA,15.5
811,Plot7,ACRU,10.7
812,Plot8,ACRU,17
813,Plot9,ACRU,13
814,Plot10,ACRU,13.3
815,Plot11,ABBA,11.5
816,Plot12,ABBA,12.5
817,Plot1,LALA,18.9
818,Plot2,ABBA,12.3
819,Plot3,ABBA,11.9
820,Plot4,ABBA,13
821,Plot5,BEPO,11
822,Plot6,LALA,13.8
823,Plot7,LALA,17.3
824,Plot8,ABBA,10.6
825,Plot9,PIRU,21.6
826,Plot10,ABBA,14.2
827,Plot11,ABBA,12.2
828,Plot12,ABBA,15.3
829,Plot1,ABBA,19.8
830,Plot2,ABBA,14.4
831,Plot3,ABBA,21
832,Plot4,ABBA,11.2
833,Plot5,UNSW,59.2
834,Plot6,ABBA,11.8
835,Plot7,ABBA,12.4
836,Plot8,ABBA,11.9
837,Plot9,ABBA,19.7
838,Plot10,ABBA,19.5
839,Plot11,UNSW,57.7
840,Plot12,ABBA,18.9
841,Plot1,ABBA,14.5
842,Plot2,ABBA,11.2
843,Plot3,ABBA,14.1
844,Plot4,ABBA,18.2
845,Plot5,ABBA,12.3
846,Plot6,ABBA,12.5
847,Plot7,ABBA,11.6
848,Plot8,ABBA,12
849,Plot9,ABBA,10.9
850,Plot10,ABBA,15.5
851,Plot11,ABBA,12
852,Plot12,ABBA,15.3
853,Plot1,ABBA,12.3
854,Plot2,ABBA,18.3
855,Plot3,ABBA,
856,Plot4,ABBA,
857,Plot5,ABBA,14.1
858,Plot6,ABBA,11
859,Plot7,ABBA,17.7
860,Plot8,ACRU,15
861,Plot9,ABBA,11.2
862,Plot10,ABBA,12.9
863,Plot11,ABBA,15.6
864,Plot12,PRPE,10.5
865,Plot1,ABBA,14.1
866,Plot2,ABBA,15.6
867,Plot3,ABBA,13.2
868,Plot4,ACRU,16.7
869,Plot5,ACRU,21
870,Plot6,ACRU,10.4
871,Plot7,ACRU,11
872,Plot8,ACRU,12.6
873,Plot9,ABBA,10.6
874,Plot10,PRSE,13.4
875,Plot11,ABBA,12.9
876,Plot12,ABBA,13.9
877,Plot1,ABBA,13.5
878,Plot2,ABBA,12
879,Plot3,ABBA,11.1
880,Plot4,UNSW,16.3
881,Plot5,ABBA,17.6
882,Plot6,ABBA,11.4
883,Plot7,ABBA,10.5
884,Plot8,ABBA,11.6
885,Plot9,ABBA,11.7
886,Plot10,ABBA,14.2
887,Plot11,ABBA,12.2
888,Plot12,LALA,18.9
889,Plot1,BECO,34.5
890,Plot2,LALA,21.6
891,Plot3,ABBA,15
892,Plot4,LALA,11.3
893,Plot5,UNSW,28.9
894,Plot6,ABBA,13.7
895,Plot7,PIRU,15.6
896,Plot8,LALA,12.2
